"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"12676","PPP1R11",0.706301770066531,-1.12180196603642,0.273,0.481,1
"12677","AL139423.1",0.706456180604855,1.5558650856876,0.012,0.004,1
"12678","AC006460.2",0.706517849018968,-0.286679264832308,0.01,0.013,1
"12679","RAMP1",0.7066700697007,-1.18727427609881,0.094,0.183,1
"12680","DKKL1",0.706737965177216,-1.40349292981506,0.002,0.01,1
"12681","TAOK1",0.706995216189271,-0.636774657465617,0.448,0.559,1
"12682","AC240274.1",0.70701054976192,-0.80866018506984,0.117,0.188,1
"12683","TVP23C",0.707094208436254,1.23299987154618,0.102,0.043,1
"12684","AC048341.2",0.70718328259017,-1.27358360722062,0.021,0.052,1
"12685","LTBR",0.707192124756828,-0.562798648855256,0.323,0.419,1
"12686","MIB1",0.707393058671339,-0.890991107004994,0.369,0.522,1
"12687","MTMR10",0.70761817204822,-0.185187466001853,0.085,0.096,1
"12688","SOX15",0.707698296057959,-3.08756357554914,0.015,0.142,1
"12689","CREBZF",0.707957556587983,-0.656331568542963,0.35,0.44,1
"12690","ZNF219",0.708042746451811,-0.870885834155038,0.081,0.146,1
"12691","JPH2",0.708122407657729,3.9184351650723,0.013,0.001,1
"12692","SLC31A2",0.708173676462947,1.5418718136081,0.071,0.024,1
"12693","AC010864.1",0.708179057675236,0.360439711951418,0.01,0.009,1
"12694","MARK4",0.708214173647168,-0.352267606459884,0.154,0.186,1
"12695","ITGA4",0.708453135060246,-0.94406131117776,0.019,0.036,1
"12696","ASB16",0.708769094201394,-1.40349292981506,0.002,0.01,1
"12697","CDON",0.709102262169541,1.51292043991197,0.065,0.024,1
"12698","TCEAL2",0.709599767676194,2.58585982598543,0.01,0.002,1
"12699","CCL2",0.709704750731325,0.962378512659901,0.05,0.019,1
"12700","SRSF8",0.709747716178567,-0.537629602466594,0.238,0.316,1
"12701","AL139289.2",0.709756480292759,-0.363335803343075,0.031,0.041,1
"12702","AC108047.1",0.709915120375535,0.802957947652368,0.025,0.015,1
"12703","RASL11A",0.710018115857029,0.908018549126967,0.04,0.021,1
"12704","INTS9",0.710482851164481,0.889866012875534,0.046,0.025,1
"12705","Z84485.1",0.710559298393502,-0.450798644593414,0.021,0.03,1
"12706","ZBTB7B",0.71077703277117,-1.63418865488271,0.165,0.431,1
"12707","RCAN2",0.710804069914713,-1.47388225770645,0.002,0.01,1
"12708","AC090826.1",0.710804069915642,-1.42733967176942,0.002,0.01,1
"12709","SOAT1",0.710831064060245,0.843356048277798,0.14,0.076,1
"12710","LINC01703",0.711006745689504,-2.36411869148091,0.023,0.117,1
"12711","AC073332.1",0.711064171730476,-0.496602334206539,0.038,0.053,1
"12712","MAST1",0.711103876079343,-1.61207955162647,0.01,0.033,1
"12713","AL512625.3",0.711110630254854,2.45900354643501,0.029,0.005,1
"12714","CHRNB1",0.711227644554565,0.350204159681564,0.187,0.141,1
"12715","FANCE",0.711420009736153,-0.529023811898917,0.019,0.028,1
"12716","NCF2",0.711471785406448,-4.23582038010412,0.004,0.072,1
"12717","LYNX1",0.711660976051958,-1.92566030380032,0.067,0.224,1
"12718","RELT",0.712059100867426,-0.710381625238279,0.05,0.081,1
"12719","SNAPC3",0.712101493455751,0.211304800446862,0.296,0.242,1
"12720","AC092353.2",0.712228191425318,-2.82452916971534,0.004,0.038,1
"12721","DLGAP4",0.712259420034103,-0.76155978427179,0.279,0.396,1
"12722","AC079174.2",0.712447902899223,-0.403492929815057,0.013,0.02,1
"12723","TOP3B",0.713180678457826,0.856278689009736,0.098,0.053,1
"12724","PPP1R3F",0.713578586447798,-1.41631697017264,0.102,0.239,1
"12725","AC007881.3",0.713817527277634,1.35655627746419,0.012,0.005,1
"12726","ZNF470",0.713819978251384,-0.218027077476967,0.038,0.046,1
"12727","DGKE",0.713863110670188,-0.943488699524722,0.113,0.197,1
"12728","TYW1B",0.713949419801544,0.649248532256915,0.023,0.016,1
