"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1830","ATP1B11",2.88470743532596e-67,2.89628114901666,0.696,0.12,6.53126610432151e-63,13,"ATP1B1"
"1831","IGFBP23",5.03841791851475e-65,3.00781343551776,0.808,0.209,1.14074820093092e-60,13,"IGFBP2"
"1832","SPINT23",1.58386461157154e-63,1.96347888180377,0.8,0.23,3.58602786705912e-59,13,"SPINT2"
"1833","NME3",9.47783835394084e-61,3.00835711918525,0.456,0.058,2.14587738171575e-56,13,"NME3"
"1834","SLC40A1",5.06133271264532e-60,5.51803149260217,0.408,0.01,1.14593633947003e-55,13,"SLC40A1"
"1835","TSTD13",5.61002224289113e-59,2.09571304698197,0.656,0.162,1.27016513601298e-54,13,"TSTD1"
"1836","SSR46",1.26639095300609e-58,1.98133265770112,0.736,0.206,2.8672357567011e-54,13,"SSR4"
"1837","TFF34",3.47346691160134e-58,1.9961798428669,0.68,0.222,7.8642764345566e-54,13,"TFF3"
"1838","TNFSF10",3.50479816948987e-58,4.05519728974403,0.4,0.039,7.93521353554201e-54,13,"TNFSF10"
"1839","EPHX1",2.13152096151125e-57,2.59129267279586,0.312,0.055,4.82597660895761e-53,13,"EPHX1"
"1840","AGR3",3.1704171704963e-56,2.15223318398753,0.424,0.093,7.17814151572066e-52,13,"AGR3"
"1841","ASPH2",8.68017902305884e-56,1.86306458796225,0.784,0.222,1.96527933261075e-51,13,"ASPH"
"1842","TBC1D9",7.96548972735217e-55,2.96054972830312,0.4,0.054,1.80346652916981e-50,13,"TBC1D9"
"1843","ATP6V1G11",2.63920718242872e-54,2.66504210209648,0.64,0.106,5.97542898173687e-50,13,"ATP6V1G1"
"1844","PRSS232",3.1603939288515e-54,1.8942200865874,0.456,0.121,7.15544789431268e-50,13,"PRSS23"
"1845","MDK3",5.72872971394117e-54,2.07785035286447,0.56,0.158,1.29704169453342e-49,13,"MDK"
"1846","DPP7",1.21955087316319e-52,4.92099615958044,0.376,0.013,2.76118513192878e-48,13,"DPP7"
"1847","KRT195",2.91093645272847e-52,1.3711901042729,0.928,0.444,6.59065122262253e-48,13,"KRT19"
"1848","GLUL",5.37899951800113e-52,3.23792357340943,0.36,0.042,1.21785928087063e-47,13,"GLUL"
"1849","TFF14",1.26974729402526e-50,2.571636236198,0.6,0.21,2.87483484840258e-46,13,"TFF1"
"1850","SKP15",2.47388704534685e-49,1.61040237891206,0.712,0.229,5.60112765936981e-45,13,"SKP1"
"1851","ATP6V0B1",2.50403163304818e-46,2.36588119288783,0.496,0.106,5.66937802038437e-42,13,"ATP6V0B"
"1852","TMCO1",2.57848986000695e-46,3.19789667953786,0.352,0.04,5.83795889204174e-42,13,"TMCO1"
"1853","GNAS4",8.54444657137812e-46,1.12864667585584,0.832,0.361,1.93454814822572e-41,13,"GNAS"
"1854","B2M5",2.92979944933864e-45,0.506018974900189,0.936,0.601,6.63335893324762e-41,13,"B2M"
"1855","ATP6V0E11",3.43127952071798e-45,2.60242367989254,0.496,0.081,7.76875996285758e-41,13,"ATP6V0E1"
"1856","MALAT13",5.18639996111429e-45,1.08344914282151,1,0.942,1.17425281519589e-40,13,"MALAT1"
"1857","BST23",1.32273962748684e-44,1.05136528275321,0.656,0.265,2.99481479059295e-40,13,"BST2"
